,,,
,,,
Faucet Inventory Results,,,NaN <1 = less than 1 part per billion
,,,
Location / Room Number,Outlet Type,Floor Number,Result # (ppb)
Gannett Basement Apt Bathroom Sink,Bathroom Faucet,Basement,23
Gannett Basement Apt Refrigerator Dispenser,Kitchen Faucet,Basement,3.2
Gannett dorm 1st floor bathroom sink,Bathroom Faucet,1,3.6
Gannett dorm 2nd floor bathroom sink left,Bathroom Faucet,2,4.4
Gannett dorm 2nd floor bathroom sink right,Bathroom Faucet,2,4.1
Gannett dorm 3rd floor bathroom sink left,Bathroom Faucet,3,2.1
GDC dorm common Rm sink Gulick,Kitchen Faucet,1,3
GDC Dorm common room sink Gannett,Kitchen Faucet,1,3
Girls Locker RM North Side Left Sink,Bathroom Faucet,1,1.5
Girls Locker RM South Side Right Sink,Bathroom Faucet,1,2.2
Gulick Apt 1st floor bathroom sink,Bathroom Faucet,1,3.9
Gulick Apt 2nd floor bathroom sink,Bathroom Faucet,2,2.8
Gulick dorm 1st floor bathroom sink left,Bathroom Faucet,1,3.1
Gulick dorm 1st floor bathroom sink right,Bathroom Faucet,1,4.2
Gulick dorm 2nd floor bathroom sink left,Bathroom Faucet,2,2.3
Gulick dorm 2nd floor bathroom sink right,Bathroom Faucet,2,2.4
Gulick dorm 3rd floor bathroom sink,Bathroom Faucet,3,2.3
Hcdwf near desk water fountain health ctr,Drinking Fountain,1,2.6
Hcks kitchen sink Health Center,Kitchen Faucet,1,3.6
Heads House 1st FL Kitchenette Sink,Kitchen Faucet,1,2
Heads House 1st FL North Bathroom Sink,Bathroom Faucet,1,NaN <1
Heads House 2nd FL Master Bathroom Sink,Bathroom Faucet,2,7.2
Heads House 2nd Floor Bathroom Sink,Bathroom Faucet,2,NaN <1
Health Center Exam Room 2 Sink,Nurse's Sink,1,5
Health Center Nurse’s Sink Behind Desk,Nurse's Sink,1,Testing on 2/5/24
Health Center Nurses Bathroom Sink,Bathroom Faucet,1,8.9
Health Center Private RM Bathroom Sink,Bathroom Faucet,1,32
Health Center Sink Exam Room 1,Nurse's Sink,1,99
Health Center Student Back Hall Bathroom Sink,Bathroom Faucet,1,37
HHKS House Kitchen Sink Heads,Kitchen Faucet,1,NaN <1
HHWBF Hallway Water Bottle Filler Holland,Drinking Fountain,1,3.9
Hockey Rink Boys Locker RM Coaches Sink,Bathroom Faucet,1,5.4
Hockey Rink Boys Locker RM North Side Left Sink,Bathroom Faucet,1,NaN <1
Hockey Rink Boys Locker RM North Side Right Sink,Bathroom Faucet,1,NaN <1
Hockey Rink Boys Locker RM South Side Right Sink,Bathroom Faucet,1,1.1
Hockey Rink Boys Locker RM South Sink Left Side,Bathroom Faucet,1,1.2
Hockey Rink Girls Locker RM Coaches Sink,Bathroom Faucet,1,3.4
Hockey Rink Girls Locker RM South Side Left Sink,Bathroom Faucet,1,1.6
Hockey Rink Girls North Side Right Sink,Bathroom Faucet,1,1.7
Hockey Rink Lobby Left Bathroom Sink,Bathroom Faucet,1,1.4
Hockey Rink Lobby Left Water Fountain,Drinking Fountain,1,NaN <1
Hockey Rink Lobby Right Bathroom Sink,Bathroom Faucet,1,1.6
Hockey Rink Lobby Right Water Fountain,Drinking Fountain,1,NaN <1
Hockey Rink Locker RM 1 Bathroom Sink,Bathroom Faucet,1,1.8
Hockey Rink Locker RM 2 Bathroom Sink,Bathroom Faucet,1,3.1
Hockey Rink Locker RM 3 Sink,Bathroom Faucet,1,5.4
Hockey Rink Locker RM 4 Sink,Bathroom Faucet,1,6.5
Hockey Rink North Lockers Water Fountain,Drinking Fountain,1,NaN <1
Hockey Rink Referee RM Sink,Bathroom Faucet,1,1.4
Hockey Rink Trainer RM SInk,Bathroom Faucet,1,70
Holland Boys Bathroom Left Sink,Bathroom Faucet,1,20
Holland Boys Bathroom Right Sink,Bathroom Faucet,1,10
Holland Girls Bathroom Left Sink,Bathroom Faucet,1,11
Holland Girls Bathroom Right Sink,Bathroom Faucet,1,11
HRPARS PAPA RM Sink Hockey,Kitchen Faucet,1,22
IAK Apt Kitchen Sink Ives Apt,Kitchen Faucet,1,3
IDC Dorm common room sink Ives,Kitchen Faucet,1,6.4
Imagination Inn 1st Floor Employee Bathroom Sink,Bathroom Faucet,1,Tested under daycare licensing requirements.
Imagination Inn 1st Floor Employee Kitchen Sink,Kitchen Faucet,1,Tested under daycare licensing requirements.
Imagination Inn 1st Floor Green Room Bathroom Sink,Bathroom Faucet,1,Tested under daycare licensing requirements.
Imagination Inn 1st Floor Green Room Kitchenette Sink,Kitchen Faucet,1,Tested under daycare licensing requirements.
Imagination Inn 2nd Floor Green Room Bathroom Sink Left,Bathroom Faucet,2,Tested under daycare licensing requirements.
Imagination Inn 2nd Floor Green Room Bathroom Sink Right,Bathroom Faucet,2,Tested under daycare licensing requirements.
Imagination Inn 2nd Floor Green Room Kitchen Sink,Kitchen Faucet,2,Tested under daycare licensing requirements.
Imagination Inn 2nd Floor Yellow Room Bathroom Sink Left,Bathroom Faucet,2,Tested under daycare licensing requirements.
